0.58,1.93,10.71
0.58,1.85,10.74
0.64,2,10.75
0.63,1.95,10.81
0.53,2.06,10.64
0.59,2,10.67
0.6,1.95,10.7
0.5,1.96,10.71
0.51,2.02,10.66
0.56,2.02,10.79
0.63,2.06,10.55
0.56,1.97,10.64
0.4,1.94,10.97
0.47,1.99,10.73
0.59,2.01,10.69
0.54,2.06,10.6
0.45,1.97,10.78
0.47,2,10.72
0.54,2.05,10.67
0.47,1.91,10.8
0.46,1.96,10.58
0.51,1.86,10.85
0.45,2.02,10.72
0.43,2.02,10.6
0.47,1.95,10.81
0.51,2.05,10.71
0.48,2.02,10.65
0.47,1.94,10.61
0.44,1.94,10.79
0.39,1.99,10.68
0.44,2.05,10.66
0.44,2,10.63
0.57,1.87,10.54
0.39,1.97,10.78
0.41,1.99,10.69
0.51,2.07,10.62
0.44,2,10.78
0.41,2.04,10.69
0.48,2.07,10.75
0.44,2.02,10.65
0.41,2.01,10.74
0.42,2.05,10.83
0.53,1.86,10.77
0.49,2.01,10.59
0.44,1.87,10.81
0.52,2.05,10.83
0.65,2.42,10.31
0.44,1.67,10.89
0.32,1.73,11.17
0.47,2.23,10.8
0.48,2.08,10.66
0.58,1.86,10.65
0.74,2.12,10.49
0.73,1.9,10.78
0.64,2.06,10.7
0.59,1.94,10.85
0.72,1.94,10.72
0.8,2.09,10.6
0.87,1.93,10.74
0.8,1.98,10.69
0.94,2.12,10.6
0.89,2.09,10.59
0.94,2,10.63
0.84,1.91,10.79
0.85,1.91,10.8
0.91,2.02,10.6
1,2.08,10.59
1,2.1,10.74
1.06,2.05,10.7
1.06,1.97,10.64
1.02,1.87,10.66
1.09,2.03,10.62
1.15,2.05,10.72
1.15,2.05,10.59
1.18,1.89,10.59
1.05,1.8,10.65
1.1,1.86,10.74
1.23,2.04,10.51
1.18,2.02,10.68
1.14,2.05,10.54
1.23,1.96,10.57
1.21,1.88,10.59
1.16,1.94,10.69
1.1,1.96,10.85
1.31,1.95,10.55
1.2,1.95,10.61
1.15,2.06,10.67
1.24,1.97,10.46
1.15,2.01,10.67
1.1,1.9,10.67
1.25,2.03,10.49
1.11,2.1,10.88
1.2,2.02,10.76
1.26,1.94,10.55
1.13,1.89,10.65
1.18,1.84,10.8
1.34,2.05,10.45
1.24,2.1,10.73
1.21,1.98,10.64
1.24,1.99,10.58
1.21,2.01,10.61
1.11,1.98,10.78
1.24,2.04,10.58
1.22,1.87,10.38
1.27,1.96,10.36
1.2,1.97,10.53
1.17,2.02,10.62
1.05,2.07,10.73
0.96,1.98,10.82
0.98,1.85,10.78
0.89,1.88,10.9
0.98,2.09,10.63
0.99,2.11,10.61
1.02,2.04,10.72
0.89,2.05,10.49
0.8,1.88,10.87
0.89,1.89,10.55
0.93,2,10.78
0.85,2.03,10.7
0.86,2.03,10.72
0.86,2.13,10.65
0.85,1.99,10.66
0.8,1.95,10.62
0.79,2.02,10.69
0.8,2.02,10.74
0.78,1.97,10.73
0.78,1.98,10.62
0.75,1.96,10.74
0.74,2.01,10.68
0.7,1.91,10.75
0.64,1.97,10.78
0.67,1.94,10.74
0.79,2.03,10.56
0.63,1.99,10.68
0.58,1.9,10.87
0.57,1.96,10.83
0.71,2,10.66
0.66,1.99,10.64
0.65,1.92,10.73
0.63,2.07,10.6
0.66,2.03,10.61
0.63,1.98,10.74
0.61,1.98,10.68
0.56,1.98,10.73
0.52,1.99,10.67
0.63,2.02,10.68
0.63,1.96,10.71
0.57,2,10.7
0.55,1.98,10.67
0.51,1.89,10.75
0.53,1.96,10.78
0.51,2.02,10.71
0.62,2.04,10.61
0.63,1.94,10.58
0.47,1.93,10.85
