2.3,1.76,10.41
2.31,1.79,10.52
2.23,1.72,10.58
2.47,1.7,10.5
2.33,1.64,10.42
2.29,1.71,10.48
2.28,1.8,10.47
2.22,1.79,10.6
2.25,1.76,10.42
2.51,2.03,10.44
2.36,2.03,10.35
2.33,1.95,10.4
2.23,1.81,10.44
2.39,1.83,10.54
2.36,1.67,10.47
2.14,1.86,10.46
2.27,1.97,10.3
2.26,2.1,10.44
2.36,1.97,10.38
2.25,1.84,10.42
2.29,1.85,10.48
2.17,1.92,10.41
2.22,2.03,10.53
2.2,2.05,10.53
2.15,2.02,10.48
2.26,1.99,10.53
2.21,2.02,10.34
2.17,1.95,10.34
2.1,2.06,10.36
2.14,2.03,10.31
2.22,2.01,10.52
2.22,2.07,10.49
2.02,2.02,10.5
2.15,2,10.47
2.16,2.08,10.6
2.17,2.06,10.45
2.13,1.95,10.47
2.21,1.95,10.35
2.09,2.01,10.5
2.06,1.94,10.41
2.13,2.05,10.43
2.16,2.02,10.34
2.05,1.98,10.45
2.08,1.98,10.55
2.14,1.9,10.42
2.17,1.98,10.51
2.16,1.92,10.54
2.07,1.88,10.56
2.13,1.96,10.4
2.17,1.89,10.56
2.18,1.93,10.44
2.14,1.91,10.56
2.25,1.86,10.41
2.17,1.83,10.49
2.05,1.77,10.51
2.13,1.78,10.54
2.09,1.8,10.5
2.1,1.75,10.51
2.13,1.77,10.48
2.2,1.78,10.54
2.05,1.78,10.48
2.09,1.73,10.55
2.15,1.75,10.52
2.13,1.76,10.53
2.13,1.81,10.54
2.08,1.73,10.65
2.15,1.66,10.61
2.1,1.63,10.64
2.09,1.83,10.46
2.13,1.8,10.53
2.07,1.74,10.61
2.14,1.78,10.63
2.11,1.79,10.66
2.08,1.74,10.59
2.06,1.68,10.72
2,1.63,10.71
2.01,1.78,10.69
2.14,1.78,10.5
2.08,1.82,10.44
1.99,1.94,10.35
1.95,1.93,10.53
1.97,1.82,10.55
2,1.75,10.58
1.95,1.91,10.54
2.01,1.95,10.53
2.13,1.91,10.49
2.03,1.81,10.47
1.95,1.98,10.53
2.07,2.06,10.47
2.08,1.99,10.49
2.03,1.94,10.58
1.97,2.11,10.76
2.11,2.17,10.38
2.13,2.04,10.23
2.03,1.89,10.39
1.95,1.86,10.64
2.06,2.01,10.68
2.13,2.22,10.55
2.15,2.06,10.45
2.11,2.08,10.41
2.16,2.13,10.36
2.1,2.14,10.38
2.08,2.03,10.45
2.03,1.91,10.53
2.04,1.99,10.56
2.08,2.04,10.49
2.11,2.06,10.43
2.09,2.11,10.52
2.17,1.95,10.33
2.13,2.03,10.41
2.13,2.04,10.38
2.11,1.99,10.35
2.07,1.93,10.44
2.15,1.95,10.53
2.16,1.95,10.52
2.12,1.9,10.57
2.08,1.92,10.55
2.17,1.84,10.52
2.17,1.88,10.5
2.17,1.79,10.44
2.21,1.88,10.45
2.22,1.92,10.45
2.23,1.96,10.41
2.32,1.87,10.48
2.28,1.78,10.62
2.26,1.77,10.55
2.16,1.71,10.5
2.14,1.76,10.64
2.27,1.72,10.54
2.38,1.85,10.51
2.26,1.91,10.52
2.3,1.93,10.37
2.38,1.96,10.56
2.31,1.8,10.6
2.42,1.85,10.27
2.32,1.9,10.43
2.41,1.97,10.44
2.35,1.92,10.38
