1.5,0.31,10.8
1.39,0.33,10.95
1.43,0.36,10.95
1.52,0.44,10.98
1.5,0.46,10.79
1.48,0.43,10.47
1.51,0.31,10.43
1.42,0.27,10.55
1.58,0.49,10.76
1.25,0.48,11.26
1.2,0.6,11.16
1.29,0.52,10.82
1.38,0.3,10.89
1.29,0.41,10.82
1.3,0.45,10.89
1.3,0.43,10.91
1.26,0.62,10.88
1.27,0.66,10.86
1.2,0.58,10.96
1.19,0.44,11.12
1.14,0.39,10.83
1.18,0.47,10.85
1.24,0.54,10.84
1.17,0.6,10.92
1.2,0.62,10.98
1.2,0.61,11.03
1.22,0.52,10.84
1.21,0.46,10.8
1.14,0.53,10.95
1.17,0.6,10.95
1.19,0.64,10.86
1.24,0.63,10.92
1.13,0.61,10.87
1.13,0.6,10.92
1.14,0.61,10.86
1.14,0.54,10.87
1.08,0.65,10.86
1.12,0.64,10.97
1.09,0.6,10.89
1.07,0.58,10.81
1.19,0.69,10.88
1.22,0.64,10.81
1.19,0.53,11.06
1.13,0.57,10.91
1.09,0.6,10.92
1.06,0.57,10.87
1.11,0.7,10.91
1.07,0.66,10.84
1.08,0.67,10.93
1.08,0.59,10.89
1.04,0.63,10.72
1.18,0.57,10.82
1.05,0.65,10.9
1.11,0.63,10.88
1.09,0.65,10.94
1.11,0.67,10.8
1.14,0.63,10.89
1.04,0.63,10.99
1.08,0.62,10.9
1,0.62,10.89
0.96,0.64,11.04
1.03,0.69,10.73
1.09,0.66,10.9
1.15,0.68,10.81
1.12,0.66,10.83
1.03,0.63,11.01
1.09,0.6,10.91
0.99,0.59,10.98
1.04,0.64,10.88
1.08,0.64,10.86
1.1,0.69,10.91
1.07,0.73,10.9
1.05,0.63,10.88
1,0.59,10.93
1.03,0.63,10.94
1,0.66,10.86
0.98,0.66,10.83
1.11,0.68,10.83
1.03,0.7,10.83
1.06,0.69,10.92
1.04,0.66,10.93
1.1,0.57,10.82
0.94,0.63,11.09
0.98,0.64,10.9
0.91,0.67,10.89
0.98,0.75,10.97
1.05,0.72,10.91
0.99,0.6,11.08
0.95,0.7,11.07
1,0.68,11.18
0.88,0.64,11.2
0.96,0.77,10.78
1.12,0.69,10.78
1.19,0.71,10.89
1.17,0.73,10.78
1.06,0.67,10.9
1.05,0.73,10.85
1.09,0.66,10.94
1.16,0.56,10.85
1.08,0.64,10.92
1,0.62,10.99
1.16,0.65,10.84
1.22,0.6,10.78
1.26,0.59,11.02
1.19,0.57,10.74
1.21,0.59,11.04
1.2,0.66,10.93
1.22,0.71,10.75
1.24,0.61,10.84
1.17,0.57,10.8
1.29,0.51,10.83
1.28,0.54,10.86
1.25,0.63,10.81
1.31,0.65,10.83
1.23,0.6,10.91
1.27,0.58,10.85
1.24,0.54,10.92
1.29,0.52,10.82
1.27,0.56,10.92
1.4,0.62,10.93
1.34,0.56,10.84
1.36,0.56,10.89
1.35,0.5,10.86
1.33,0.7,10.8
1.23,0.63,10.94
1.3,0.73,10.89
1.24,0.59,10.8
1.3,0.48,10.83
1.26,0.52,10.86
1.27,0.56,11.06
1.33,0.62,10.9
1.37,0.57,10.98
1.41,0.65,10.81
1.39,0.56,10.84
1.37,0.44,10.89
1.35,0.52,10.91
1.35,0.52,10.86
1.37,0.58,10.83
1.3,0.66,10.83
1.46,0.53,10.83
1.32,0.56,10.77
1.39,0.65,10.85
1.42,0.58,10.89
1.39,0.57,10.77
1.45,0.52,10.87
1.32,0.51,10.86
1.48,0.54,10.81
1.5,0.48,10.91
1.45,0.62,10.85
1.42,0.54,10.85
1.45,0.45,10.73
1.41,0.46,10.81
1.4,0.43,10.8
1.42,0.5,10.85
1.43,0.55,10.81
1.45,0.51,10.93
1.44,0.52,10.76
1.42,0.39,10.91
1.48,0.56,10.94
1.39,0.5,10.98
1.49,0.42,10.9
1.46,0.45,10.76
1.35,0.43,10.87
1.41,0.46,10.78
1.46,0.51,10.9
1.46,0.51,10.94
1.44,0.48,10.93
1.42,0.43,10.92
1.51,0.35,10.82
1.34,0.4,10.83
1.39,0.45,10.73
1.39,0.48,10.66
1.43,0.55,10.84
1.34,0.43,11.02
1.41,0.52,10.89
1.33,0.47,10.9
1.41,0.44,10.94
1.28,0.52,11.04
1.22,0.5,10.8
1.35,0.41,10.77
1.2,0.43,10.98
1.21,0.59,10.85
1.32,0.56,10.91
1.22,0.6,10.86
1.28,0.55,10.82
1.22,0.55,10.87
1.25,0.47,10.89
1.26,0.58,10.89
1.25,0.63,10.99
1.21,0.59,10.86
1.25,0.59,10.87
1.15,0.52,10.84
1.22,0.53,10.87
1.2,0.62,11.1
1.16,0.52,10.87
1.21,0.52,10.86
1.17,0.69,10.81
1.25,0.46,10.87
1.23,0.5,10.96
1.09,0.53,10.98
1.16,0.53,10.79
1.15,0.54,10.93
1.14,0.58,10.95
1.13,0.57,10.9
1.17,0.59,10.9
1.15,0.56,10.78
1.1,0.55,10.91
1.16,0.56,10.96
1.09,0.56,10.87
1.13,0.64,10.89
1.12,0.59,10.88
1.11,0.56,10.85
1.18,0.63,10.85
1.09,0.57,10.97
1.07,0.63,10.72
1.13,0.58,10.97
1.23,0.64,10.83
1.11,0.69,10.88
1.11,0.56,10.9
1.07,0.57,10.96
1.13,0.57,10.88
1.13,0.57,10.95
1.08,0.68,10.84
1.17,0.7,10.92
1.08,0.69,10.87
1.09,0.58,11
1.04,0.66,10.87
1.02,0.63,11.01
1.03,0.6,10.86
1.08,0.64,10.79
1.01,0.7,10.89
1.08,0.68,10.81
0.99,0.63,10.9
0.99,0.62,11.01
1.03,0.67,10.76
1.06,0.62,10.81
1.01,0.64,10.87
0.97,0.69,10.87
1.02,0.66,10.87
0.98,0.59,10.86
1.04,0.64,10.85
0.96,0.66,10.82
0.92,0.69,10.92
1.07,0.72,10.89
1.04,0.7,10.93
1.03,0.63,10.86
1.02,0.64,10.9
1,0.63,10.95
0.93,0.64,10.93
0.93,0.67,10.99
1.03,0.65,10.85
1.02,0.59,10.88
1,0.72,10.86
0.97,0.61,11
0.94,0.69,10.79
0.98,0.65,10.98
1.08,0.67,10.95
1.01,0.59,10.91
1.05,0.59,10.96
0.97,0.66,10.99
1.02,0.57,11
1.05,0.64,11
1.01,0.71,11.01
1.03,0.68,10.94
1.12,0.66,10.91
1.06,0.6,10.81
1.09,0.7,10.9
1.12,0.61,10.86
1.19,0.69,10.98
1.15,0.68,10.89
1.14,0.68,10.77
1.24,0.62,10.83
1.14,0.66,10.97
1.18,0.67,10.77
1.23,0.61,10.87
1.17,0.76,10.87
1.15,0.67,10.82
1.22,0.67,10.92
1.22,0.61,10.85
1.2,0.62,10.97
1.3,0.59,10.93
1.28,0.67,10.94
1.27,0.69,10.85
1.23,0.65,10.97
1.19,0.54,10.88
1.29,0.51,10.93
1.27,0.59,10.85
1.23,0.57,10.89
1.27,0.64,10.82
1.31,0.61,10.94
1.24,0.7,10.85
1.32,0.55,10.91
1.28,0.62,10.83
1.31,0.55,10.77
1.3,0.51,10.78
1.31,0.51,10.93
1.26,0.6,10.96
1.3,0.54,10.77
1.32,0.59,10.92
1.34,0.6,10.79
1.37,0.56,10.86
1.32,0.47,10.89
1.33,0.53,10.93
1.33,0.53,10.82
1.3,0.51,10.91
1.32,0.59,10.79
1.38,0.56,10.95
1.35,0.57,10.84
1.42,0.43,11.12
1.35,0.59,10.91
1.34,0.51,10.75
1.38,0.42,10.86
1.28,0.45,10.78
1.29,0.48,10.95
1.44,0.59,10.79
1.42,0.62,10.9
1.34,0.5,10.89
1.41,0.5,10.91
1.34,0.41,10.96
1.44,0.47,10.82
1.4,0.41,10.73
1.44,0.42,10.89
1.43,0.37,10.77
1.5,0.64,11.03
1.42,0.51,10.85
1.36,0.29,10.88
1.43,0.51,10.82
1.43,0.46,10.89
1.36,0.43,10.88
1.36,0.49,10.85
1.37,0.42,10.84
1.4,0.41,10.86
1.41,0.55,10.85
1.41,0.47,10.98
1.47,0.51,10.79
1.4,0.34,10.81
1.39,0.45,10.81
1.42,0.37,10.98
1.35,0.48,10.81
1.53,0.46,10.62
1.48,0.52,10.9
1.48,0.41,10.86
1.37,0.17,10.97
