0.19,2.97,10.52
0.2,2.91,10.45
0.2,3,10.49
0.29,2.99,10.52
0.16,3.01,10.74
0.23,3.19,10.58
0.23,3.18,10.46
0.18,3.07,10.59
0.23,3.12,10.36
0.2,3.01,10.51
0.3,3.2,10.32
0.32,3.23,10.24
0.24,3.16,10.59
0.2,3.23,10.42
0.18,3.12,10.3
0.3,3.02,10.29
0.2,3.1,10.44
0.22,3.27,10.38
0.33,3.23,10.19
0.31,3.17,10.38
0.17,3.09,10.47
0.17,3.01,10.64
0.27,3.15,10.45
0.22,3.11,10.49
0.21,3.21,10.37
0.23,3.08,10.28
0.27,3.04,10.35
0.24,3.08,10.42
0.27,3.06,10.44
0.31,3.12,10.42
0.24,3.01,10.43
0.25,3.06,10.56
0.28,3.11,10.4
0.31,3.1,10.33
0.19,3.11,10.42
0.27,3.15,10.49
0.29,3.09,10.21
0.28,3.05,10.36
0.2,3.02,10.49
0.2,3.01,10.35
0.28,3.1,10.6
0.41,3.12,10.79
0.23,3.11,10.32
0.23,3.11,10.25
0.18,3.07,10.57
0.21,3.09,10.45
0.27,3.11,10.47
0.23,3.12,10.28
0.27,3.13,10.54
0.25,2.99,10.89
0.38,3.04,10.4
0.4,3.21,9.97
0.52,3.16,9.74
0.19,3.19,10.62
0.34,3.2,10.43
0.34,3.22,10.28
0.37,3.23,10.34
0.32,2.95,10.53
0.35,3.16,10.44
0.23,3.01,10.71
0.28,3.06,10.45
0.34,3.24,10.49
0.38,3.11,10.47
0.36,3.05,10.38
0.3,3.04,10.58
0.27,3.01,10.53
0.28,3.02,10.45
0.33,3.03,10.48
0.29,2.98,10.47
0.33,3.09,10.37
0.34,3.03,10.51
0.29,3.04,10.41
0.31,2.95,10.46
0.28,3.01,10.52
0.25,3.06,10.39
0.31,3.01,10.5
0.16,2.96,10.7
0.18,3.03,10.41
0.27,2.96,10.46
0.23,2.96,10.5
0.24,2.96,10.46
0.27,3.01,10.57
0.18,2.98,10.48
0.17,2.92,10.44
0.2,3.06,10.49
0.23,2.95,10.53
0.21,3.01,10.67
0.23,3.17,10.58
0.21,3.14,10.55
0.23,3.13,10.53
0.23,3.02,10.44
0.28,3.03,10.38
0.32,3.12,10.38
0.23,3.25,10.39
0.21,3.16,10.5
0.26,3.12,10.38
0.16,3,10.44
0.21,3.08,10.31
0.27,3.03,10.42
0.25,3.15,10.53
0.24,3.16,10.48
0.29,3.16,10.28
0.24,3.06,10.49
0.23,3.01,10.45
0.2,2.97,10.49
0.21,3.12,10.44
0.22,3.16,10.32
0.19,3.12,10.42
0.17,3.12,10.4
0.26,3.06,10.27
0.28,3.07,10.43
0.15,3.06,10.54
0.25,3.06,10.26
0.25,3.09,10.39
0.18,3.07,10.45
0.15,3.06,10.42
